customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3621-A246,Male,0,Yes,No,47,Yes,No phone service,No,No internet service,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),79.26,3733.63,No
8179-B229,Female,0,No,No,52,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),71.62,3703.63,No
2101-H897,Male,0,No,Yes,18,Yes,No phone service,No,No internet service,No internet service,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),77.64,1400.49,No
7001-L492,Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No,One year,No,Mailed check,71.89,1281.58,No
1530-T257,Male,1,No,Yes,24,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,No,Month-to-month,No,Mailed check,24.07,576.98,No
8371-L480,Male,0,No,No,23,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),118.34,2715.52,No
8273-Y178,Male,0,Yes,Yes,12,Yes,Yes,No,No internet service,Yes,Yes,No internet service,No internet service,No,One year,No,Credit card (automatic),116.87,1402.58,No
3255-Q475,Male,0,No,Yes,23,Yes,Yes,DSL,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),70.95,1635.83,No
7521-K765,Female,0,No,No,21,Yes,Yes,No,No,No,No,No internet service,No internet service,Yes,Two year,Yes,Electronic check,39.19,833.58,No
5566-H216,Male,0,No,No,64,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,36.64,2346.35,No
1424-X290,Male,0,No,No,72,Yes,No phone service,No,Yes,No,No,Yes,No internet service,No,Two year,Yes,Mailed check,23.98,1732.72,No
9176-Q496,Male,0,No,Yes,34,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),79.74,2710.49,No
2929-I893,Female,0,No,No,2,Yes,Yes,No,Yes,Yes,Yes,No,No internet service,No,Month-to-month,No,Electronic check,66.31,119.19,No
5264-W556,Female,0,No,No,69,Yes,No phone service,DSL,Yes,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),60.09,4134.82,No
4515-T392,Male,0,No,No,31,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,71.03,2216.85,No
9047-G225,Female,0,Yes,No,68,Yes,No phone service,No,No,No internet service,No internet service,No,Yes,No,Two year,No,Electronic check,105.97,7193.75,No
3223-C562,Male,1,Yes,No,70,Yes,No phone service,No,No,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,25.36,1777.11,No
3828-W555,Male,0,Yes,No,19,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,72.93,1387.41,No
2438-Z798,Female,0,No,Yes,72,Yes,No,DSL,No,No internet service,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,88.7,6387.58,No
6236-V455,Male,0,No,No,13,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,115.8,1515.63,No
2063-R655,Female,0,No,Yes,65,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),92.59,6011.9,No
5757-J971,Female,0,Yes,Yes,6,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,73.34,437.92,No
3580-W826,Male,0,Yes,No,71,Yes,Yes,No,Yes,No internet service,No internet service,Yes,Yes,No,Two year,No,Mailed check,95.31,6763.6,No
3852-Z470,Male,0,Yes,Yes,27,Yes,No phone service,No,Yes,No internet service,No internet service,No,No,Yes,One year,No,Bank transfer (automatic),118.45,3175.49,No
9335-H224,Female,0,No,Yes,52,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Credit card (automatic),107.57,5586.03,No
4292-Z242,Male,0,Yes,Yes,48,No,No,No,No,Yes,No internet service,No,No,No,One year,Yes,Electronic check,27.2,1316.26,No
4878-Z605,Male,0,Yes,No,68,Yes,No phone service,DSL,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,No,Mailed check,76.02,5189.6,No
1430-L667,Male,1,No,Yes,44,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,97.29,4290.26,No
7044-O922,Female,0,Yes,Yes,17,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),85.77,1461.98,No
3126-T188,Female,0,No,Yes,38,Yes,Yes,No,Yes,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),60.16,2272.33,No
2077-J507,Male,0,Yes,Yes,10,No,No,DSL,No internet service,No internet service,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),50.66,508.45,No
8842-Q520,Female,0,No,No,54,Yes,No phone service,Fiber optic,Yes,No,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),81.26,4389.03,No
7708-S175,Female,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),59.69,381.55,No
3053-K757,Female,0,No,Yes,6,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No,One year,Yes,Mailed check,57.65,328.43,No
2215-O577,Female,0,No,No,52,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,102.34,5309.17,No
9476-L231,Female,0,No,No,15,Yes,Yes,No,No internet service,No,Yes,No internet service,No,Yes,One year,Yes,Electronic check,49.97,761.67,No
3981-Y232,Male,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),83.06,5663.53,No
8088-Q989,Male,0,No,No,57,Yes,Yes,No,Yes,No internet service,No,No,No,No internet service,One year,Yes,Credit card (automatic),106.03,6047.02,No
1907-D630,Male,1,No,No,56,Yes,No,No,No,No,No internet service,No internet service,No,No,Two year,No,Electronic check,80.74,4517.79,No
3507-J268,Female,0,No,Yes,7,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),67.78,480.19,No
3653-K826,Female,0,No,Yes,51,Yes,No phone service,DSL,No,No,Yes,No,No internet service,No,Month-to-month,No,Electronic check,21.8,1133.58,No
4694-L631,Male,0,Yes,No,58,Yes,Yes,No,Yes,Yes,No,No internet service,No,No,Month-to-month,No,Electronic check,86.75,,No
5653-C356,Female,0,No,No,64,Yes,No,DSL,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Mailed check,118.5,7588.65,No
4216-U664,Male,0,Yes,No,26,Yes,No phone service,DSL,No,No,No internet service,Yes,No internet service,No,One year,Yes,Mailed check,99.5,2584.98,No
5496-E740,Male,0,No,No,58,Yes,No,DSL,Yes,No,No internet service,No internet service,No,Yes,One year,Yes,Mailed check,82.01,4760.27,No
5961-T646,Male,0,No,Yes,31,Yes,No phone service,DSL,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),65.4,2035.19,No
2530-Q756,Female,0,Yes,Yes,66,Yes,Yes,No,No,No,Yes,No internet service,Yes,Yes,One year,No,Credit card (automatic),40.79,2686.27,No
3762-S694,Female,0,Yes,Yes,13,Yes,No phone service,DSL,No internet service,Yes,No internet service,Yes,No internet service,Yes,One year,Yes,Mailed check,87.81,1151.34,No
3526-F774,Male,0,Yes,Yes,18,Yes,No phone service,No,No internet service,Yes,No internet service,Yes,No,Yes,One year,No,Electronic check,36.07,644.34,No
6531-S142,Male,0,No,Yes,13,No,Yes,DSL,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),107.4,1401.93,No
1464-C146,Male,0,Yes,No,24,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),53.83,1272.49,No
5336-U315,Male,0,No,No,57,Yes,No phone service,No,Yes,Yes,No,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),58.43,3338.14,No
7825-T754,Female,0,Yes,Yes,29,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,Yes,Two year,Yes,Electronic check,39.96,1149.97,No
1496-P742,Female,1,Yes,Yes,56,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,66.66,3727.96,No
9938-J757,Male,1,No,Yes,54,No,No phone service,DSL,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),86.64,4655.99,No
5949-P350,Male,1,Yes,No,5,No,Yes,No,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),48.68,241.15,No
7653-J564,Female,0,Yes,No,35,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),88.78,3120.58,No
2195-W161,Female,0,No,No,19,Yes,No,No,No,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),80.62,1516.12,No
3589-O525,Male,0,No,Yes,55,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),55.68,3064.35,No
8933-O308,Male,0,No,Yes,69,Yes,No phone service,No,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),49.69,3408.21,No
6573-T247,Male,0,Yes,Yes,44,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),104.81,4610.14,No
6121-W426,Female,1,Yes,Yes,38,Yes,Yes,No,No,No,No internet service,No internet service,No,No,Month-to-month,No,Credit card (automatic),19.45,747.68,No
6658-M233,Female,1,Yes,Yes,62,Yes,Yes,No,No,No,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),90.2,5591.31,No
7070-Q675,Female,0,Yes,No,22,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No,One year,No,Mailed check,60.18,1331.77,No
2739-K347,Male,0,Yes,Yes,40,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),90.38,3610.18,No
8642-D373,Male,0,No,No,26,No,No,DSL,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),69.26,1826.6,No
8366-H244,Female,1,Yes,No,5,No,No phone service,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),26.68,144.41,No
2586-B397,Female,1,No,No,54,Yes,No,No,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),116.95,6317.39,No
7293-T528,Male,0,Yes,No,49,Yes,No phone service,DSL,Yes,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),26.9,1335.22,No
5067-F933,Female,0,No,No,3,Yes,No,No,Yes,No,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),34.17,116.46,No
6364-S838,Female,1,Yes,Yes,38,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,60.49,2293.25,No
6123-G881,Male,0,Yes,Yes,14,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),113.18,1589.53,No
3610-P627,Female,0,No,Yes,47,Yes,No phone service,No,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),47.7,2238.94,No
8648-P415,Male,1,Yes,No,14,No,Yes,DSL,No,Yes,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),75.4,1064.79,No
9148-A192,Male,0,No,No,38,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,70.65,2700.42,No
7442-Q568,Male,0,Yes,No,64,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),51.43,3276.72,No
4944-G697,Male,0,Yes,No,44,Yes,Yes,No,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,88.23,3883.31,No
6781-B151,Male,0,No,No,70,Yes,No phone service,DSL,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,68.65,4820.12,No
5609-P711,Male,1,Yes,No,65,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),76.37,4971.65,No
8710-J649,Male,0,No,Yes,25,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No internet service,One year,No,Mailed check,39.37,988.53,No
1133-D541,Female,1,Yes,No,16,No,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),111.37,1792.67,No
3194-I844,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),29.36,427.02,No
6992-Y512,Male,0,Yes,Yes,3,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No,No internet service,One year,Yes,Credit card (automatic),87.62,268.54,No
6995-B510,Female,0,Yes,No,67,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),107.28,7200.1,No
1838-S675,Female,0,Yes,Yes,37,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,26.69,993.22,No
4189-L666,Female,0,Yes,Yes,55,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,21.14,1150.51,No
5728-C495,Male,0,Yes,Yes,38,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),51.73,1961.97,No
9261-O882,Female,0,No,No,63,Yes,No,No,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),97.64,6151.43,No
5582-T796,Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),90.35,82.16,No
2946-E199,Male,0,Yes,Yes,71,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No,One year,No,Bank transfer (automatic),100.88,7153.47,No
7453-L913,Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,58.2,1110.71,No
6555-R474,Male,0,No,Yes,52,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No,Month-to-month,No,Mailed check,118.12,6158.71,No
3363-G716,Female,0,No,No,30,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Credit card (automatic),55.04,1632.35,No
9341-M612,Female,0,Yes,No,55,Yes,No,No,No internet service,Yes,Yes,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),99.19,5450.62,No
1659-B139,Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No internet service,One year,No,Electronic check,53.51,741.92,No
3245-W441,Male,0,Yes,No,13,Yes,No,No,No,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),40.2,537.61,No
8761-Q567,Male,0,No,No,27,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,52.09,1413.66,No
3440-T627,Female,1,Yes,Yes,9,Yes,Yes,DSL,No,No internet service,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),37.61,352.41,No
3290-K727,Male,0,No,Yes,41,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),31.23,1289.29,No
6218-F502,Male,0,Yes,Yes,48,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,One year,No,Mailed check,54.83,2643.65,No
5902-S444,Female,0,No,Yes,12,Yes,No phone service,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),33.0,398.87,No
9311-Q645,Female,0,No,No,10,Yes,Yes,No,No,No,No internet service,No,No,No,Two year,Yes,Electronic check,68.73,692.06,No
9025-W676,Male,0,Yes,Yes,6,Yes,Yes,No,No,No,No internet service,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),21.81,136.11,No
5911-P935,Female,0,Yes,Yes,34,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No,One year,Yes,Credit card (automatic),61.6,2094.73,No
1272-L439,Female,0,Yes,Yes,52,Yes,Yes,DSL,Yes,No,No,No internet service,No,No internet service,Two year,No,Credit card (automatic),114.53,5955.61,No
2795-N697,Male,1,Yes,No,41,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No,Yes,Two year,No,Credit card (automatic),54.31,2231.46,No
6040-Z842,Female,0,Yes,No,6,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,32.08,196.98,No
1436-T585,Male,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,48.92,99.95,No
5350-U901,Female,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No,No internet service,Yes,No,One year,Yes,Electronic check,97.77,1468.36,No
4728-X152,Male,0,No,No,17,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,Yes,Mailed check,49.77,853.21,No
8871-F636,Male,0,Yes,Yes,16,Yes,Yes,DSL,No,No,No internet service,No,No,Yes,Month-to-month,No,Bank transfer (automatic),56.79,907.36,No
7229-E941,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,No,No,No internet service,Yes,Month-to-month,No,Mailed check,97.52,2718.35,No
4968-B686,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No,No internet service,One year,Yes,Electronic check,44.44,3201.74,No
2800-G119,Male,1,Yes,No,10,Yes,No phone service,DSL,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,66.32,654.22,No
8225-K528,Female,0,Yes,Yes,10,No,No,DSL,No internet service,No internet service,Yes,No internet service,Yes,No,One year,No,Electronic check,24.6,256.39,No
3481-N807,Male,1,Yes,Yes,10,No,No phone service,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,35.74,351.53,No
4340-N613,Male,0,Yes,No,28,Yes,Yes,No,No internet service,Yes,No,No,No internet service,Yes,One year,Yes,Electronic check,39.3,1095.4,No
8726-X844,Female,0,No,Yes,24,Yes,Yes,No,No,No internet service,Yes,No,No,Yes,Two year,No,Electronic check,64.84,1560.31,No
2020-W241,Male,0,No,No,19,Yes,Yes,No,Yes,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),100.76,1914.32,No
9498-G674,Male,1,Yes,Yes,68,Yes,No,DSL,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,53.88,3675.66,No
6325-V589,Female,0,Yes,Yes,56,No,No phone service,DSL,No internet service,Yes,No internet service,Yes,Yes,No,One year,Yes,Credit card (automatic),56.49,3161.35,No
9609-M421,Male,0,No,No,67,Yes,No phone service,No,Yes,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),48.5,3246.56,No
3837-O645,Male,0,Yes,Yes,42,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,50.46,2111.69,No
6608-R462,Male,0,No,No,12,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,58.8,693.75,No
5331-T595,Male,0,No,No,18,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,One year,No,Mailed check,108.64,1950.26,No
4150-H385,Female,0,No,No,23,Yes,No,DSL,No,No internet service,No internet service,No,No,No,Two year,No,Bank transfer (automatic),20.7,480.21,No
5890-H404,Female,0,Yes,Yes,6,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.02,498.96,No
5735-W312,Male,0,Yes,Yes,53,Yes,No phone service,No,No internet service,No internet service,No,Yes,No,Yes,Two year,No,Mailed check,107.46,5703.89,No
9011-K591,Female,0,Yes,No,42,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,60.15,2520.6,No
6714-R914,Male,0,No,No,66,Yes,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),83.67,5523.84,No
5480-J224,Female,0,Yes,Yes,30,Yes,No,DSL,Yes,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),77.11,2313.58,No
9899-M504,Male,1,Yes,No,9,Yes,No phone service,No,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),52.28,482.11,No
6654-Y923,Male,0,No,Yes,42,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),32.06,1359.67,No
3399-J143,Male,0,Yes,Yes,34,Yes,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),40.32,1351.41,No
5712-W180,Male,0,Yes,Yes,40,Yes,No phone service,DSL,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.02,974.73,No
6674-O771,Male,0,Yes,No,17,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,95.11,1601.17,No
5201-X590,Male,0,No,No,29,No,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),71.8,2084.93,No
4505-G947,Female,1,Yes,Yes,50,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,97.21,4839.6,No
9824-I675,Male,0,No,No,49,No,No phone service,No,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),47.41,2333.25,No
5450-E211,Female,0,No,No,61,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No,One year,Yes,Mailed check,99.12,,No
4920-H151,Male,0,No,Yes,46,Yes,No phone service,No,No internet service,No,No,No,No,No,Month-to-month,No,Credit card (automatic),49.33,2275.95,No
9700-H753,Female,0,Yes,Yes,46,Yes,No,DSL,No internet service,No internet service,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),30.44,,No
4814-B202,Female,0,Yes,No,17,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No,Yes,One year,Yes,Mailed check,71.9,1232.01,No
7771-K834,Female,1,Yes,Yes,66,Yes,No,No,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,113.25,7457.83,No
8739-D797,Male,0,No,No,5,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),59.9,305.6,No
3252-A663,Male,0,No,Yes,54,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),70.05,3786.87,No
3587-N768,Female,0,Yes,Yes,16,Yes,No phone service,No,No,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,63.6,1021.35,No
8793-P766,Male,0,No,No,7,Yes,No phone service,No,Yes,No,No internet service,No internet service,No internet service,No,One year,No,Electronic check,64.22,454.68,No
4267-Y394,Female,0,Yes,No,8,Yes,No,No,No internet service,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,39.79,329.67,No
6262-J761,Male,0,Yes,No,72,Yes,No,DSL,Yes,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),60.71,4380.99,No
1969-Y191,Female,0,Yes,No,38,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),68.19,2577.11,No
4804-R856,Female,0,Yes,No,54,Yes,No phone service,DSL,No internet service,No,Yes,No internet service,No,No,Two year,No,Credit card (automatic),93.11,5029.09,No
1611-F527,Male,0,Yes,Yes,15,No,Yes,No,No,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),32.3,488.05,No
3880-B956,Female,1,Yes,Yes,50,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),75.7,3784.34,No
7504-Z607,Male,0,Yes,No,56,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.8,4750.35,No
4052-X993,Female,0,No,Yes,9,Yes,Yes,No,Yes,No internet service,No internet service,No,Yes,Yes,Two year,No,Electronic check,56.72,515.26,No
5742-B109,Female,0,Yes,No,8,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,73.44,595.09,No
5888-S717,Male,0,No,Yes,19,Yes,Yes,No,No internet service,Yes,Yes,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),89.68,1709.62,No
2758-K391,Male,0,No,Yes,51,Yes,No phone service,No,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,64.99,3323.13,No
8444-U656,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No internet service,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),51.75,3745.69,No
9590-P237,Female,0,No,No,57,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),101.13,5762.34,No
9261-O379,Male,0,No,No,68,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),117.63,7997.5,No
4159-Z215,Female,0,No,Yes,31,No,No,DSL,No,No,No internet service,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),40.02,1247.65,No
6417-F848,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Mailed check,107.63,322.85,No
8518-U363,Male,1,Yes,No,43,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,73.07,3138.62,No
4050-A854,Male,0,Yes,No,29,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,63.27,1830.28,No
6523-Z402,Female,0,Yes,No,10,Yes,No phone service,No,No,Yes,No,No,No,No internet service,Two year,Yes,Credit card (automatic),108.01,1086.38,No
4164-F725,Female,0,Yes,No,12,No,Yes,Fiber optic,Yes,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,109.74,1321.4,No
7643-N627,Male,0,No,No,46,Yes,Yes,DSL,No,No internet service,No internet service,No,No,Yes,Two year,No,Bank transfer (automatic),45.65,2118.55,No
6372-C510,Male,0,No,Yes,30,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,54.27,1617.85,No
2562-F243,Male,1,Yes,Yes,32,Yes,No,DSL,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),103.87,3313.83,No
8822-K354,Male,1,No,Yes,47,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,No,Yes,One year,No,Electronic check,67.58,3176.93,No
1111-I492,Male,0,No,Yes,63,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,47.2,2965.76,No
